Comp Name:Grand National Dancesport Championships
Dancers
["Heat", "588", "2@Friday 5:17 PM", "Latin Single Dances B1 Open Silver Int'l Paso Doble", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "589", "2@Friday 5:19 PM", "Latin Single Dances B1 Open Silver Int'l Jive", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "595", "2@Friday 5:34 PM", "Latin Single Dances B1 Open Gold Int'l Cha Cha", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "596", "2@Friday 5:36 PM", "Latin Single Dances B1 Open Gold Int'l Samba", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "597", "2@Friday 5:37 PM", "Latin Single Dances B1 Open Gold Int'l Rumba", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "598", "2@Friday 5:38 PM", "Latin Single Dances B1 Open Gold Int'l Paso Doble", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "599", "2@Friday 5:40 PM", "Latin Single Dances B1 Open Gold Int'l Jive", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "605", "2@Friday 5:48 PM", "Latin Single Dances B1 Open Gold Advanced Int'l Cha Cha", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "606", "2@Friday 5:50 PM", "Latin Single Dances B1 Open Gold Advanced Int'l Samba", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "607", "2@Friday 5:51 PM", "Latin Single Dances B1 Open Gold Advanced Int'l Rumba", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "608", "2@Friday 5:52 PM", "Latin Single Dances B1 Open Gold Advanced Int'l Paso Doble", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "609", "2@Friday 5:54 PM", "Latin Single Dances B1 Open Gold Advanced Int'l Jive", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "624", "3@Friday 8:25 PM", "P/A Open Dancesport Series C Int'l Latin Championship (CC,S,R,PD,J)", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
["Heat", "626", "3@Friday 8:51 PM", "P/A Open Scholarship C Int'l Latin Championship (CC,S,R,PD,J)", "???", "Alekseev, Aleksei and Thomas, Mary", "---"]
Dancer:Alico, Junis:229:Heats:1
["Heat", "632", "3@Friday 10:12 PM", "Amateur Adult Open AD Int'l Latin Championship (CC,S,R,PD,J)", "???", "Alico, Junis and Rakitska, Denitsa", "---"]
Dancer:Alisauskas, Lukas:560:Heats:2
["Pro heat", "1", "3@Friday 9:12 PM", "Professional Rising Star Events Int'l Latin (CC,S,R,PD,J)", "???", "Alisauskas, Lukas and Alisauskas, Simona", "---"]
["Pro heat", "6", "5@Saturday 5:30 PM", "WDC World Professional Latin Int'l Latin Championship (CC,S,R,PD,J)", "???", "Alisauskas, Lukas and Alisauskas, Simona", "---"]
Dancer:Alisauskas, Simona:561:Heats:2
["Pro heat", "1", "3@Friday 9:12 PM", "Professional Rising Star Events Int'l Latin (CC,S,R,PD,J)", "???", "Alisauskas, Simona and Alisauskas, Lukas", "---"]
