Comp Name:The Snow Ball 2020
Dancers
["Heat", "445", "Session 3: Saturday Daytime@02:29PM Saturday", "AP-A2 Cl. Int. Silver American Mambo", "101", "Abrams, John and Freeman, Mica", "---"]
["Heat", "451", "Session 3: Saturday Daytime@02:42PM Saturday", "AP-A2 Cl. Full Silver American Cha Cha", "101", "Abrams, John and Freeman, Mica", "---"]
["Heat", "452", "Session 3: Saturday Daytime@02:44PM Saturday", "AP-A2 Cl. Full Silver American Rumba", "101", "Abrams, John and Freeman, Mica", "---"]
["Heat", "453", "Session 3: Saturday Daytime@02:45PM Saturday", "AP-A2 Cl. Full Silver American Swing", "101", "Abrams, John and Freeman, Mica", "---"]
["Heat", "454", "Session 3: Saturday Daytime@02:46PM Saturday", "AP-A2 Cl. Full Silver American Bolero", "101", "Abrams, John and Freeman, Mica", "---"]
["Heat", "455", "Session 3: Saturday Daytime@02:48PM Saturday", "AP-A2 Cl. Full Silver American Mambo", "101", "Abrams, John and Freeman, Mica", "---"]
["Heat", "461", "Session 3: Saturday Daytime@02:56PM Saturday", "AP-A3 Open Adv. Gold American Cha Cha", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "462", "Session 3: Saturday Daytime@02:58PM Saturday", "AP-A3 Open Adv. Gold American Rumba", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "463", "Session 3: Saturday Daytime@02:59PM Saturday", "AP-A3 Open Adv. Gold American Swing", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "464", "Session 3: Saturday Daytime@03:00PM Saturday", "AP-A3 Open Adv. Gold American Bolero", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "465", "Session 3: Saturday Daytime@03:02PM Saturday", "AP-A3 Open Adv. Gold American Mambo", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "471", "Session 3: Saturday Daytime@03:10PM Saturday", "AP-A2 Open Full Gold American Cha Cha", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "472", "Session 3: Saturday Daytime@03:11PM Saturday", "AP-A2 Open Full Gold American Rumba", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "473", "Session 3: Saturday Daytime@03:13PM Saturday", "AP-A2 Open Full Gold American Swing", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "474", "Session 3: Saturday Daytime@03:14PM Saturday", "AP-A2 Open Full Gold American Bolero", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "475", "Session 3: Saturday Daytime@03:16PM Saturday", "AP-A2 Open Full Gold American Mambo", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "476", "Session 3: Saturday Daytime@03:17PM Saturday", "AP-A3 Open Full Gold American Cha Cha", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "477", "Session 3: Saturday Daytime@03:18PM Saturday", "AP-A3 Open Full Gold American Rumba", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "478", "Session 3: Saturday Daytime@03:20PM Saturday", "AP-A3 Open Full Gold American Swing", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "479", "Session 3: Saturday Daytime@03:21PM Saturday", "AP-A3 Open Full Gold American Bolero", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "480", "Session 3: Saturday Daytime@03:22PM Saturday", "AP-A3 Open Full Gold American Mambo", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "481", "Session 3: Saturday Daytime@03:24PM Saturday", "AP-A2 Open Adv. Gold American Cha Cha", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "482", "Session 3: Saturday Daytime@03:25PM Saturday", "AP-A2 Open Adv. Gold American Rumba", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "483", "Session 3: Saturday Daytime@03:27PM Saturday", "AP-A2 Open Adv. Gold American Swing", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "484", "Session 3: Saturday Daytime@03:28PM Saturday", "AP-A2 Open Adv. Gold American Bolero", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "485", "Session 3: Saturday Daytime@03:29PM Saturday", "AP-A2 Open Adv. Gold American Mambo", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "503", "Session 4: Saturday Evening@07:30PM Saturday", "AP-A Closed Silver Rhythm Scholarship (C/R/SW)", "101", "Abrams, John and Freeman, Mica", "---"]
["Heat", "504", "Session 4: Saturday Evening@07:37PM Saturday", "AP-S2 Closed Silver Rhythm Scholarship (C/R/SW)", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "507", "Session 4: Saturday Evening@08:04PM Saturday", "AP-A Open Rhythm Scholarship (C/R/SW/B/M)", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "508", "Session 4: Saturday Evening@08:14PM Saturday", "AP-B Open Rhythm Scholarship (C/R/SW/B/M)", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "670", "Session 5: Sunday Daytime@01:08PM Sunday", "AP-A2 Open Full Gold American Waltz", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "671", "Session 5: Sunday Daytime@01:09PM Sunday", "AP-A2 Open Full Gold American Tango", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "672", "Session 5: Sunday Daytime@01:10PM Sunday", "AP-A2 Open Full Gold American Foxtrot", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "673", "Session 5: Sunday Daytime@01:12PM Sunday", "AP-A2 Open Full Gold American Viennese Waltz", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "674", "Session 5: Sunday Daytime@01:17PM Sunday", "AP-A2 Open Adv. Gold American Waltz", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "675", "Session 5: Sunday Daytime@01:18PM Sunday", "AP-A2 Open Adv. Gold American Tango", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "676", "Session 5: Sunday Daytime@01:20PM Sunday", "AP-A2 Open Adv. Gold American Foxtrot", "101", "Abrams, John and Dodge, Tami", "---"]
["Heat", "677", "Session 5: Sunday Daytime@01:21PM Sunday", "AP-A2 Open Adv. Gold American Viennese Waltz", "101", "Abrams, John and Dodge, Tami", "---"]
