Comp Name:Nashville Starz Dance Spectacular
Dancers
["Heat", "169", "01@Thursday 2:18 PM", "American Rhythm Single Dance L-A2 Open Pre-Silver Amer. Mambo", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "185", "01@Thursday 2:51 PM", "American Rhythm Single Dance L-A2 Open Int. Silver Amer. Cha Cha", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "186", "01@Thursday 2:52 PM", "American Rhythm Single Dance L-A2 Open Int. Silver Amer. Rumba", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "187", "01@Thursday 2:53 PM", "American Rhythm Single Dance L-A2 Open Int. Silver Amer. Swing", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "188", "01@Thursday 2:55 PM", "American Rhythm Single Dance L-A2 Open Int. Silver Amer. Bolero", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "189", "01@Thursday 2:56 PM", "American Rhythm Single Dance L-A2 Open Int. Silver Amer. Mambo", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "205", "01@Thursday 3:25 PM", "ProAm & MixedAm 4-Dance Open Silver B Amer. Rhythm (CC,R,SW,M)", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "206", "01@Thursday 3:32 PM", "ProAm & MixedAm 4-Dance Closed Silver B Amer. Rhythm (CC,R,SW,M)", "???", "Aleman, Caleb and Hynes, Vicki", "---"]
["Heat", "215A", "02@Thursday 6:30 PM", "ProAm Closed Silver Scholarship B Amer. Rhythm (CC,R,SW,M)", "???", "Aleman, Caleb and Hynes, Vicki", "---"]
["Heat", "227", "02@Thursday 7:12 PM", "ProAm Open Scholarship B Amer. Rhythm (CC,R,SW,B,M)", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "384", "03@Friday 10:33 AM", "American Smooth Single Dance L-B2 Newcomer Amer. Waltz", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "385", "03@Friday 10:35 AM", "American Smooth Single Dance L-B2 Newcomer Amer. Tango", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "386", "03@Friday 10:36 AM", "American Smooth Single Dance L-B2 Newcomer Amer. Foxtrot", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "413", "03@Friday 11:21 AM", "American Smooth Single Dance L-B2 Closed Int. Bronze Amer. Waltz", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "414", "03@Friday 11:23 AM", "American Smooth Single Dance L-B2 Closed Int. Bronze Amer. Tango", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "415", "03@Friday 11:24 AM", "American Smooth Single Dance L-B2 Closed Int. Bronze Amer. Foxtrot", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "419", "03@Friday 11:30 AM", "American Smooth Single Dance L-B2 Closed Pre-Bronze Amer. Waltz", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "420", "03@Friday 11:31 AM", "American Smooth Single Dance L-B2 Closed Pre-Bronze Amer. Tango", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "421", "03@Friday 11:33 AM", "American Smooth Single Dance L-B2 Closed Pre-Bronze Amer. Foxtrot", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "444", "03@Friday 12:06 PM", "American Smooth Single Dance L-B2 Closed Full Bronze Amer. Waltz", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "445", "03@Friday 12:08 PM", "American Smooth Single Dance L-B2 Closed Full Bronze Amer. Tango", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "446", "03@Friday 12:09 PM", "American Smooth Single Dance L-B2 Closed Full Bronze Amer. Foxtrot", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "498", "03@Friday 1:46 PM", "ProAm & MixedAm 3-Dance Closed Bronze C1 Amer. Smooth (W,T,F)", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "501", "03@Friday 1:59 PM", "ProAm Closed Bronze Scholarship C Amer. Smooth (W,T,F)", "???", "Aleman, Caleb and Wolfson, Colette", "---"]
["Heat", "517", "03@Friday 3:10 PM", "American Smooth Single Dance L-A2 Closed Pre-Silver Amer. Waltz", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
